encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:WISDM:36,natural,0,5,115,WISDM,0.75078125,0.744769648728593,0.7857142857142857,0.7522977297697391,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5385924335569143
tstcc,device:WISDM:36,natural,0,5,116,WISDM,0.7515625,0.7419517048995142,0.7767857142857143,0.7353822278078594,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6137258671224117
tstcc,device:WISDM:36,natural,0,5,117,WISDM,0.75390625,0.7499285949181613,0.7823660714285714,0.7528555031632113,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5553248750844172
tstcc,device:WISDM:36,natural,0,5,118,WISDM,0.753125,0.7459617107752872,0.7991071428571429,0.7648926582963476,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.470554674975574
tstcc,device:WISDM:36,natural,0,5,119,WISDM,0.763671875,0.759754800155257,0.7834821428571429,0.7547512931324063,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5537314412317106
tstcc,device:WISDM:36,natural,0,5,120,WISDM,0.7625,0.7550146784601829,0.7946428571428571,0.7618709742894254,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.49496479112921016
tstcc,device:WISDM:36,natural,0,5,121,WISDM,0.75625,0.751191783339862,0.7868303571428571,0.7557953950811094,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5256374217569828
tstcc,device:WISDM:36,natural,0,5,122,WISDM,0.760546875,0.7557648207645962,0.7868303571428571,0.756996289028949,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5033730245860559
tstcc,device:WISDM:36,natural,0,5,123,WISDM,0.758984375,0.7542823332698377,0.7912946428571429,0.7591596768764721,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5085776392370462
tstcc,device:WISDM:36,natural,0,5,124,WISDM,0.764453125,0.7607241642717844,0.7868303571428571,0.7596105747421964,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5497084095009735
tstcc,device:WISDM:36,natural,0,5,125,WISDM,0.766015625,0.7578961457201836,0.7834821428571429,0.7503169538375043,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5579540259870035
tstcc,device:WISDM:36,natural,0,5,126,WISDM,0.766015625,0.7609903965032907,0.7912946428571429,0.761363399616469,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5090823378413916
tstcc,device:WISDM:36,natural,0,5,127,WISDM,0.765234375,0.7555300548477611,0.7879464285714286,0.7528103856274013,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5400600294981684
tstcc,device:WISDM:36,natural,0,5,128,WISDM,0.76796875,0.765068445190841,0.7979910714285714,0.7729210207071813,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5163082775127675
tstcc,device:WISDM:36,natural,0,5,129,WISDM,0.75703125,0.7520835692748753,0.7857142857142857,0.7554631348482357,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5663679228829486
tstcc,device:WISDM:36,natural,0,5,130,WISDM,0.76171875,0.7590162713908463,0.796875,0.7701471535627478,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.538439381601555
tstcc,device:WISDM:36,natural,0,5,131,WISDM,0.755859375,0.7497540187775882,0.78125,0.7486967419745625,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5865339197750602
tstcc,device:WISDM:36,natural,0,5,132,WISDM,0.757421875,0.7589313923006643,0.7924107142857143,0.7755627841933787,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.549734174140862
tstcc,device:WISDM:36,natural,0,5,133,WISDM,0.76484375,0.7548775618073744,0.7823660714285714,0.7468242395946582,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5986907126248947
tstcc,device:WISDM:36,natural,0,5,134,WISDM,0.7625,0.7631557724128573,0.7890625,0.7709956206960726,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5679684627268996
tstcc,device:WISDM:36,natural,0,5,135,WISDM,0.760546875,0.7469209159622615,0.7756696428571429,0.7279631403361128,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6400924142716187
tstcc,device:WISDM:36,natural,0,5,136,WISDM,0.7546875,0.7575086248850513,0.7723214285714286,0.7641642843277605,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6238999824438777
tstcc,device:WISDM:36,natural,0,5,137,WISDM,0.76484375,0.756027020493862,0.78125,0.7442105354521206,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6089956358607326
tstcc,device:WISDM:36,natural,0,5,138,WISDM,0.766015625,0.7652525673561066,0.7935267857142857,0.7742579072810942,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5547004139849118
tstcc,device:WISDM:36,natural,0,5,139,WISDM,0.764453125,0.7560920766908268,0.7935267857142857,0.7574181924265356,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.52623793057033
tstcc,device:WISDM:36,natural,0,5,140,WISDM,0.770703125,0.7705556435156338,0.796875,0.7811690857977177,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5366314896382391
